6_0,-25756829#1,-31951173#0
6_1,-25756829#1,1225908703#1
6_2,-25756829#1,1236614318#2
6_3,-25756829#1,25621696#1
6_4,-25756829#1,25756829#1
6_5,-25756829#1,25817868#5
6_6,-25756829#1,30655159
6_7,-25756829#1,417312024#5
6_8,-25756829#1,448630413#22
6_9,-25756829#1,561837466
6_10,-25817868#5,-31951173#0
6_11,-25817868#5,1225908703#1
6_12,-25817868#5,1236614318#2
6_13,-25817868#5,25621696#1
6_14,-25817868#5,25756829#1
6_15,-25817868#5,25817868#5
6_16,-25817868#5,30655159
6_17,-25817868#5,417312024#5
6_18,-25817868#5,448630413#22
6_19,-25817868#5,561837466
6_20,-417312024#6,-31951173#0
6_21,-417312024#6,1225908703#1
6_22,-417312024#6,1236614318#2
6_23,-417312024#6,25621696#1
6_24,-417312024#6,25756829#1
6_25,-417312024#6,25817868#5
6_26,-417312024#6,30655159
6_27,-417312024#6,417312024#5
6_28,-417312024#6,448630413#22
6_29,-417312024#6,561837466
6_30,-561837466,-31951173#0
6_31,-561837466,1225908703#1
6_32,-561837466,1236614318#2
6_33,-561837466,25621696#1
6_34,-561837466,25756829#1
6_35,-561837466,25817868#5
6_36,-561837466,30655159
6_37,-561837466,417312024#5
6_38,-561837466,448630413#22
6_39,-561837466,561837466
6_40,1218775699#6,-31951173#0
6_41,1218775699#6,1225908703#1
6_42,1218775699#6,1236614318#2
6_43,1218775699#6,25621696#1
6_44,1218775699#6,25756829#1
6_45,1218775699#6,25817868#5
6_46,1218775699#6,30655159
6_47,1218775699#6,417312024#5
6_48,1218775699#6,448630413#22
6_49,1218775699#6,561837466
6_50,1219744082#1,-31951173#0
6_51,1219744082#1,1225908703#1
6_52,1219744082#1,1236614318#2
6_53,1219744082#1,25621696#1
6_54,1219744082#1,25756829#1
6_55,1219744082#1,25817868#5
6_56,1219744082#1,30655159
6_57,1219744082#1,417312024#5
6_58,1219744082#1,448630413#22
6_59,1219744082#1,561837466
6_60,1265255790#1,-31951173#0
6_61,1265255790#1,1225908703#1
6_62,1265255790#1,1236614318#2
6_63,1265255790#1,25621696#1
6_64,1265255790#1,25756829#1
6_65,1265255790#1,25817868#5
6_66,1265255790#1,30655159
6_67,1265255790#1,417312024#5
6_68,1265255790#1,448630413#22
6_69,1265255790#1,561837466
6_70,31951173#0,-31951173#0
6_71,31951173#0,1225908703#1
6_72,31951173#0,1236614318#2
6_73,31951173#0,25621696#1
6_74,31951173#0,25756829#1
6_75,31951173#0,25817868#5
6_76,31951173#0,30655159
6_77,31951173#0,417312024#5
6_78,31951173#0,448630413#22
6_79,31951173#0,561837466
